"행정구역","2013년03월_전월인구수_남자인구수","2013년03월_전월인구수_여자인구수","2013년03월_전월인구수_계","2013년03월_당월인구수_남자인구수","2013년03월_당월인구수_여자인구수","2013년03월_당월인구수_계","2013년03월_인구증감_남자인구수","2013년03월_인구증감_여자인구수","2013년03월_인구증감_계"
"전라남도 장성군 (4688000000)","","","46,217","23,341","22,769","46,110","","","-107"
"전라남도 완도군 (4689000000)","","","53,690","26,708","27,000","53,708","","","18"
"전라남도 진도군 (4690000000)","","","33,188","16,039","17,152","33,191","","","3"
"전라남도 신안군 (4691000000)","","","43,950","22,935","21,018","43,953","","","3"
"경상북도  (4700000000)","","","2,696,802","1,354,666","1,341,888","2,696,554","","","-248"
"경상북도 포항시 (4711000000)","","","519,214","263,648","255,412","519,060","","","-154"
"경상북도 경주시 (4713000000)","","","263,811","131,906","131,798","263,704","","","-107"
"경상북도 김천시 (4715000000)","","","134,908","67,205","67,986","135,191","","","283"
"경상북도 안동시 (4717000000)","","","167,863","82,896","84,930","167,826","","","-37"
"경상북도 구미시 (4719000000)","","","417,684","212,657","205,051","417,708","","","24"
"경상북도 영주시 (4721000000)","","","112,689","55,927","56,555","112,482","","","-207"
"경상북도 영천시 (4723000000)","","","101,405","51,019","50,276","101,295","","","-110"
"경상북도 상주시 (4725000000)","","","104,057","51,099","52,851","103,950","","","-107"
"경상북도 문경시 (4728000000)","","","75,814","37,197","38,552","75,749","","","-65"
"경상북도 경산시 (4729000000)","","","247,300","124,911","122,702","247,613","","","313"
"경상북도 군위군 (4772000000)","","","24,148","12,055","12,049","24,104","","","-44"
"경상북도 의성군 (4773000000)","","","56,821","27,799","28,978","56,777","","","-44"
"경상북도 청송군 (4775000000)","","","26,442","13,083","13,349","26,432","","","-10"
"경상북도 영양군 (4776000000)","","","18,257","8,984","9,275","18,259","","","2"
"경상북도 영덕군 (4777000000)","","","40,130","19,129","21,084","40,213","","","83"
"경상북도 청도군 (4782000000)","","","43,888","21,346","22,441","43,787","","","-101"
"경상북도 고령군 (4783000000)","","","35,254","18,033","17,248","35,281","","","27"
"경상북도 성주군 (4784000000)","","","44,850","23,018","21,806","44,824","","","-26"
"경상북도 칠곡군 (4785000000)","","","120,063","62,202","57,933","120,135","","","72"
"경상북도 예천군 (4790000000)","","","45,969","22,606","23,342","45,948","","","-21"
"경상북도 봉화군 (4792000000)","","","33,915","16,889","17,047","33,936","","","21"
"경상북도 울진군 (4793000000)","","","51,752","25,447","26,276","51,723","","","-29"
"경상북도 울릉군 (4794000000)","","","10,568","5,610","4,947","10,557","","","-11"
"경상남도  (4800000000)","","","3,318,548","1,670,416","1,647,759","3,318,175","","","-373"
"경상남도 창원시 (4812000000)","","","1,090,687","554,050","535,849","1,089,899","","","-788"
"경상남도 진주시 (4817000000)","","","337,532","167,081","170,251","337,332","","","-200"
"경상남도 통영시 (4822000000)","","","139,094","70,454","68,567","139,021","","","-73"
"경상남도 사천시 (4824000000)","","","115,686","58,061","57,730","115,791","","","105"
"경상남도 김해시 (4825000000)","","","513,726","259,443","254,478","513,921","","","195"
"경상남도 밀양시 (4827000000)","","","108,621","53,151","55,345","108,496","","","-125"
"경상남도 거제시 (4831000000)","","","237,693","124,801","113,247","238,048","","","355"
"경상남도 양산시 (4833000000)","","","270,692","136,371","134,569","270,940","","","248"
"경상남도 의령군 (4872000000)","","","29,656","14,214","15,339","29,553","","","-103"
"경상남도 함안군 (4873000000)","","","67,532","34,172","33,359","67,531","","","-1"
